フォルダパス,ファイル名,ファイルサイズ (MB),MIME タイプ,作成日,最終更新日,ファイルURL,ファイルID
70_Book / kindle / フィクション / 日本の作家,kindlep_掌の小説 （新潮文庫） 川端 康成 559p_4101001057.pdf,41.46,application/pdf,2023-12-13 16:08,2013-03-15 0:37,https://drive.google.com/file/d/1os6-PAWCH_EDkMaCZ4krGhcHCXN9fYrl/view?usp=drivesdk,1os6-PAWCH_EDkMaCZ4krGhcHCXN9fYrl
70_Book / kindle / フィクション / 日本の作家,kindlep_愛する人達 （新潮文庫 （か-1-4）） 川端 康成 230p_4101001049.pdf,14.35,application/pdf,2023-12-13 16:09,2013-03-15 0:36,https://drive.google.com/file/d/1RD66MF4nQK1T2qhRm7nO5N8y7Qn66Lzz/view?usp=drivesdk,1RD66MF4nQK1T2qhRm7nO5N8y7Qn66Lzz
70_Book / kindle / フィクション / 日本の作家,kindlep_幸福な家族 （新潮文庫） 武者小路 実篤 272p_4101057087.pdf,18.8,application/pdf,2023-12-13 16:03,2013-03-14 21:04,https://drive.google.com/file/d/1ad_W9v3CWdcSENQGPyqOY4ipXadcJvWC/view?usp=drivesdk,1ad_W9v3CWdcSENQGPyqOY4ipXadcJvWC
70_Book / kindle / フィクション / 日本の作家,kindlep_川のある下町の話 （新潮文庫） 川端 康成 317p_410100112X.pdf,22.53,application/pdf,2023-12-13 16:03,2013-03-14 21:04,https://drive.google.com/file/d/1yb9rUsmpL_KIO63dW2Vx5jkLuGsE5ZqP/view?usp=drivesdk,1yb9rUsmpL_KIO63dW2Vx5jkLuGsE5ZqP
70_Book / kindle / フィクション / 日本の作家,kindlep_山の音 （岩波文庫） 川端 康成 339p_4003108140.pdf,26.28,application/pdf,2023-12-13 16:05,2013-03-14 21:03,https://drive.google.com/file/d/1pZzYFA3nQClHB6WZkxCu-D5EdP-zHAQ2/view?usp=drivesdk,1pZzYFA3nQClHB6WZkxCu-D5EdP-zHAQ2
70_Book / kindle / フィクション / 日本の作家,kindlep_女であること （新潮文庫） 川端 康成 583p_4101001162.pdf,43.37,application/pdf,2023-12-13 16:09,2013-03-14 21:02,https://drive.google.com/file/d/1M_2BuwQysnxE4xrnY12v4StRa76u2kZt/view?usp=drivesdk,1M_2BuwQysnxE4xrnY12v4StRa76u2kZt
70_Book / kindle / フィクション / 日本の作家,kindlep_名人 （新潮文庫） 川端 康成 175p_4101001197.pdf,14.22,application/pdf,2023-12-13 16:07,2013-03-14 21:01,https://drive.google.com/file/d/1C3paiXUvCq8psVfzprgsI2P6rAZgiZXE/view?usp=drivesdk,1C3paiXUvCq8psVfzprgsI2P6rAZgiZXE
70_Book / kindle / フィクション / 日本の作家,kindlep_古都 （新潮文庫） 川端 康成 278p_4101001219.pdf,18.86,application/pdf,2023-12-13 16:09,2013-03-14 21:00,https://drive.google.com/file/d/1hcNCiyc_XIjwJCmo0RR1mODSbwvCLxbm/view?usp=drivesdk,1hcNCiyc_XIjwJCmo0RR1mODSbwvCLxbm
70_Book / kindle / フィクション / 日本の作家,kindlep_千羽鶴 （新潮文庫 か 1-7） 川端 康成 174p_4101001081.pdf,16.53,application/pdf,2023-12-13 16:05,2013-03-14 20:59,https://drive.google.com/file/d/1DPyW_d1R8Xd_c69gyzOI1UMo3WzHp8lK/view?usp=drivesdk,1DPyW_d1R8Xd_c69gyzOI1UMo3WzHp8lK
70_Book / kindle / フィクション / 日本の作家,kindlep_再婚者;弓浦市 （講談社文芸文庫） 川端 康成 278p_4061962825.pdf,23.14,application/pdf,2023-12-13 16:06,2013-03-14 20:59,https://drive.google.com/file/d/1vnQcTPs3KU7wbIl9HW07gSQ9kz0lioHG/view?usp=drivesdk,1vnQcTPs3KU7wbIl9HW07gSQ9kz0lioHG
70_Book / kindle / フィクション / 日本の作家,kindlep_伊豆の踊子 （新潮文庫） 川端 康成 201p_4101001022.pdf,16.41,application/pdf,2023-12-13 16:08,2013-03-14 20:58,https://drive.google.com/file/d/19uRP-lvPosnLTaIoQTIHiREPQPyfeAH6/view?usp=drivesdk,19uRP-lvPosnLTaIoQTIHiREPQPyfeAH6
70_Book / kindle / フィクション / 日本の作家,kindlep_一草一花 （講談社文芸文庫-現代日本のエッセイ） 川端 康成 386p_4061961187.pdf,36.6,application/pdf,2023-12-13 16:06,2013-03-14 20:57,https://drive.google.com/file/d/1KGJ3flQgGVsysH6TWd5r6hThzAAWIAdt/view?usp=drivesdk,1KGJ3flQgGVsysH6TWd5r6hThzAAWIAdt
70_Book / kindle / フィクション / 日本の作家,kindlep_みずうみ （新潮文庫） 川端 康成 153p_4101001189.pdf,13.05,application/pdf,2023-12-13 16:07,2013-03-14 20:48,https://drive.google.com/file/d/1kiyOilO8lscTMn6IYKrJpXCcsOoqv_C7/view?usp=drivesdk,1kiyOilO8lscTMn6IYKrJpXCcsOoqv_C7
70_Book / kindle / フィクション / 日本の作家,kindlep_たんぽぽ （講談社文芸文庫） 川端 康成 221p_406196352X.pdf,19.21,application/pdf,2023-12-13 16:07,2013-03-14 20:47,https://drive.google.com/file/d/1XCZQcktjvu49CLGDLioMgnhM09p_isk6/view?usp=drivesdk,1XCZQcktjvu49CLGDLioMgnhM09p_isk6
70_Book / kindle / フィクション / 日本の作家,kindlep_大江戸美味草紙（むまそうし） （新潮文庫） 杉浦 日向子 182p_4101149151.pdf,12.36,application/pdf,2023-12-13 16:08,2013-03-14 20:44,https://drive.google.com/file/d/1wgOKYfDRDVBm4ci4AmAT6tsdVaIK6O8V/view?usp=drivesdk,1wgOKYfDRDVBm4ci4AmAT6tsdVaIK6O8V
70_Book / kindle / フィクション / 日本の作家,kindlep_薄墨の桜 （集英社文庫 70-B） 宇野 千代 192p_4087502139.pdf,17.8,application/pdf,2023-12-13 16:03,2013-03-14 20:40,https://drive.google.com/file/d/1NdY__yevfq_8YkxktDNxDGvjyJTUT7gM/view?usp=drivesdk,1NdY__yevfq_8YkxktDNxDGvjyJTUT7gM
70_Book / kindle / フィクション / 日本の作家,kindlep_義民が駆ける （中公文庫） 藤沢 周平 426p_4122023378.pdf,35.61,application/pdf,2023-12-13 16:04,2013-03-14 20:40,https://drive.google.com/file/d/1VmNciaVg7StXpLV18V_IvK66ejLYvUGb/view?usp=drivesdk,1VmNciaVg7StXpLV18V_IvK66ejLYvUGb
70_Book / kindle / フィクション / 日本の作家,kindlep_真実一路 （新潮文庫） 山本 有三 379p_4101060010.pdf,36.68,application/pdf,2023-12-13 16:06,2013-03-14 20:38,https://drive.google.com/file/d/1lBbSfv-ltM2twc5q1eT4k6VGR40F6Vpy/view?usp=drivesdk,1lBbSfv-ltM2twc5q1eT4k6VGR40F6Vpy
70_Book / kindle / フィクション / 日本の作家,kindlep_大江戸観光 （ちくま文庫） 杉浦 日向子 262p_448002929X.pdf,20.75,application/pdf,2023-12-13 16:03,2013-03-14 20:32,https://drive.google.com/file/d/1bawdZz-6XH-bMzLy1MsG1_aRFzjRl4QA/view?usp=drivesdk,1bawdZz-6XH-bMzLy1MsG1_aRFzjRl4QA
70_Book / kindle / フィクション / 日本の作家,kindlep_エロティシズム （中公文庫） 澁澤 龍彦 256p_4122011256.pdf,23.07,application/pdf,2023-12-13 16:05,2013-03-14 20:30,https://drive.google.com/file/d/1Tpy2xOC8Phptr9o6Kdorxttqt-1N85I5/view?usp=drivesdk,1Tpy2xOC8Phptr9o6Kdorxttqt-1N85I5
70_Book / kindle / フィクション / 日本の作家,kindlep_お登勢 （角川文庫） 船山 馨 700p_404129701X.pdf,61.79,application/pdf,2023-12-13 16:05,2013-03-14 20:15,https://drive.google.com/file/d/1fogiqCDjmtc5ULeUNcQiptXWYkTo__KO/view?usp=drivesdk,1fogiqCDjmtc5ULeUNcQiptXWYkTo__KO
70_Book / kindle / フィクション / 日本の作家,kindlep_おろしや国酔夢譚 （徳間文庫） 井上 靖 396p_419599358X.pdf,39.75,application/pdf,2023-12-13 16:02,2013-03-14 20:13,https://drive.google.com/file/d/1lkwWbW4dkzCRLwCqMUqRt1Rm5pjS_GNt/view?usp=drivesdk,1lkwWbW4dkzCRLwCqMUqRt1Rm5pjS_GNt
70_Book / kindle / フィクション / 日本の作家,kindlep_TSUNAMI 津波 （集英社文庫） 高嶋 哲夫 608p_4087463699.pdf,52.76,application/pdf,2023-12-13 16:07,2013-03-14 20:12,https://drive.google.com/file/d/19L1CsyjvJSctMYvv5OCIoE-j6Hvy7BfC/view?usp=drivesdk,19L1CsyjvJSctMYvv5OCIoE-j6Hvy7BfC
70_Book / kindle / フィクション / 日本の作家,kindlep_M8 （集英社文庫） 高嶋 哲夫 544p_4087462005.pdf,44.19,application/pdf,2023-12-13 16:06,2013-03-14 20:10,https://drive.google.com/file/d/1bPHWlorGuH6T5HTnDUqZBDD9F3z5qMha/view?usp=drivesdk,1bPHWlorGuH6T5HTnDUqZBDD9F3z5qMha
70_Book / kindle / フィクション / 日本の作家,kindlep_雪国 （新潮文庫 （か-1-1）） 川端 康成 208p_4101001014.pdf,16.18,application/pdf,2023-12-13 16:07,2013-01-30 13:24,https://drive.google.com/file/d/1l4OhzU2IAG0kWERG5ZQJDljKGqVYolH2/view?usp=drivesdk,1l4OhzU2IAG0kWERG5ZQJDljKGqVYolH2
70_Book / kindle / フィクション / 日本の作家,kindlep_童話集 銀河鉄道の夜 他十四篇 （岩波文庫） 宮沢 賢治 334p_4003107632.pdf,29.73,application/pdf,2023-12-13 16:07,2013-01-30 13:22,https://drive.google.com/file/d/16Bdo-5l48VNKnwVFkf2oSZik-selO7on/view?usp=drivesdk,16Bdo-5l48VNKnwVFkf2oSZik-selO7on
70_Book / kindle / フィクション / 日本の作家,kindlep_破戒 （岩波文庫） 島崎 藤村 440p_4003102320.pdf,35.33,application/pdf,2023-12-13 16:06,2013-01-30 13:21,https://drive.google.com/file/d/1xweJxZhRBYwRoB3nk75iS6Sn-mUeq4d9/view?usp=drivesdk,1xweJxZhRBYwRoB3nk75iS6Sn-mUeq4d9
70_Book / kindle / フィクション / 日本の作家,kindlep_坊っちゃん （岩波文庫） 夏目 漱石 173p_4003101030.pdf,16.91,application/pdf,2023-12-13 16:09,2013-01-30 13:15,https://drive.google.com/file/d/1uyuqnEnTLknxz1TL6VgS6y-3yj9wiKVc/view?usp=drivesdk,1uyuqnEnTLknxz1TL6VgS6y-3yj9wiKVc
70_Book / kindle / フィクション / 日本の作家,kindlep_ウイタ・セクスアリス （岩波文庫 緑 5-3） 森 鴎外 108p_4003100530.pdf,11.03,application/pdf,2023-12-13 16:05,2013-01-30 13:05,https://drive.google.com/file/d/14sV1YEPrBvxvrntyPJg8MlJtotLrgSda/view?usp=drivesdk,14sV1YEPrBvxvrntyPJg8MlJtotLrgSda
70_Book / kindle / フィクション / 日本の作家,kindlep_壁 （新潮文庫） 安部 公房 265p_4101121028.pdf,17.16,application/pdf,2023-12-13 16:07,2012-11-25 16:38,https://drive.google.com/file/d/1Zpk7QMdbdGf6dPRYNIg26qqEo8s-vLXl/view?usp=drivesdk,1Zpk7QMdbdGf6dPRYNIg26qqEo8s-vLXl
70_Book / kindle / フィクション / 日本の作家,kindlep_R62号の発明・鉛の卵 （新潮文庫） 安部 公房 364p_4101121095.pdf,18.56,application/pdf,2023-12-13 16:03,2012-11-25 16:25,https://drive.google.com/file/d/1-nh9OZiTlhWX9Np17JCKXBo8M-CyhYwV/view?usp=drivesdk,1-nh9OZiTlhWX9Np17JCKXBo8M-CyhYwV
70_Book / kindle / フィクション / 日本の作家,kindlep_葉隠入門 （新潮文庫） 三島 由紀夫 221p_4101050333.pdf,12.7,application/pdf,2023-12-13 16:07,2012-11-25 16:05,https://drive.google.com/file/d/1ezirg_eg5FbnCa7t7O0khPJhOsMIMVYv/view?usp=drivesdk,1ezirg_eg5FbnCa7t7O0khPJhOsMIMVYv
70_Book / kindle / フィクション / 日本の作家,kindlep_深夜特急〈6〉南ヨーロッパ・ロンドン （新潮文庫） 沢木 耕太郎 243p_4101235104.pdf,13.32,application/pdf,2023-12-13 16:09,2012-11-25 16:05,https://drive.google.com/file/d/1B11L_WOlrNgkGfWMd6nPQqZ2A16SOH8i/view?usp=drivesdk,1B11L_WOlrNgkGfWMd6nPQqZ2A16SOH8i
70_Book / kindle / フィクション / 日本の作家,kindlep_深夜特急〈5〉トルコ・ギリシャ・地中海 （新潮文庫） 沢木 耕太郎 247p_4101235090.pdf,14.18,application/pdf,2023-12-13 16:07,2012-11-25 16:04,https://drive.google.com/file/d/1zPVd9oPQereQR0cl5gnbs6NSqbYl5HDU/view?usp=drivesdk,1zPVd9oPQereQR0cl5gnbs6NSqbYl5HDU
70_Book / kindle / フィクション / 日本の作家,kindlep_深夜特急〈4〉シルクロード （新潮文庫） 沢木 耕太郎 204p_4101235082.pdf,11.9,application/pdf,2023-12-13 16:08,2012-11-25 16:04,https://drive.google.com/file/d/1UcQbVeAkD59oiE5ZpJeWcmK-7BZ-i6TW/view?usp=drivesdk,1UcQbVeAkD59oiE5ZpJeWcmK-7BZ-i6TW
70_Book / kindle / フィクション / 日本の作家,kindlep_深夜特急〈3〉インド・ネパール （新潮文庫） 沢木 耕太郎 226p_4101235074.pdf,13.42,application/pdf,2023-12-13 16:04,2012-11-25 16:03,https://drive.google.com/file/d/15Lwz-EASeRpNkzfia8PC4EcQ7dS27TqW/view?usp=drivesdk,15Lwz-EASeRpNkzfia8PC4EcQ7dS27TqW
70_Book / kindle / フィクション / 日本の作家,kindlep_深夜特急〈2〉マレー半島・シンガポール （新潮文庫） 沢木 耕太郎 223p_4101235066.pdf,12.62,application/pdf,2023-12-13 16:05,2012-11-25 16:03,https://drive.google.com/file/d/1TU7s3ddlKc3HANuYqpuIPgy-zab8D1dK/view?usp=drivesdk,1TU7s3ddlKc3HANuYqpuIPgy-zab8D1dK
70_Book / kindle / フィクション / 日本の作家,kindlep_論語 （講談社現代新書 13） 貝塚 茂樹 202p_4061154133.pdf,10.03,application/pdf,2023-12-13 16:05,2012-11-25 15:52,https://drive.google.com/file/d/1Rt2h2EvJOFb5UfQihUMFkYfjwk4xnIHS/view?usp=drivesdk,1Rt2h2EvJOFb5UfQihUMFkYfjwk4xnIHS
70_Book / kindle / フィクション / 日本の作家,kindlep_深夜特急〈1〉香港・マカオ （新潮文庫） 沢木 耕太郎 238p_4101235058.pdf,13.27,application/pdf,2023-12-13 16:09,2012-11-25 15:36,https://drive.google.com/file/d/1q1qTzbFwHRUiGU2o9Faf-gIfTEMKabsa/view?usp=drivesdk,1q1qTzbFwHRUiGU2o9Faf-gIfTEMKabsa
70_Book / kindle / フィクション / 日本の作家,kindlep_黄門廻国記 （春陽文庫） 直木 三十五 646p_4394107016.pdf,39.6,application/pdf,2023-12-13 16:07,2012-11-23 0:42,https://drive.google.com/file/d/1yVm7ER6CrJFvUwpKI7PtKBDDmefDkcTE/view?usp=drivesdk,1yVm7ER6CrJFvUwpKI7PtKBDDmefDkcTE
70_Book / kindle / フィクション / 日本の作家,kindlep_飢餓同盟 （新潮文庫） 安部 公房 257p_4101121044.pdf,14.3,application/pdf,2023-12-13 16:06,2012-11-23 0:36,https://drive.google.com/file/d/1L-Mt84iJcHOQku-JK4T3gW9D8K1_Ifgu/view?usp=drivesdk,1L-Mt84iJcHOQku-JK4T3gW9D8K1_Ifgu
70_Book / kindle / フィクション / 日本の作家,kindlep_砂の女 （新潮文庫） 安部 公房 276p_410112115X.pdf,0,application/pdf,2023-12-13 15:54,2012-11-23 0:16,https://drive.google.com/file/d/1KB5Zg8IzsEqCqaJv2tS-m1vaxS1KWgUW/view?usp=drivesdk,1KB5Zg8IzsEqCqaJv2tS-m1vaxS1KWgUW
70_Book / kindle / フィクション / 日本の作家,kindlep_痴人の愛 （新潮文庫） 谷崎 潤一郎 449p_410100501X.pdf,0,application/pdf,2023-12-13 15:54,2012-11-23 0:16,https://drive.google.com/file/d/1P9sbTrSwPoPVyY7sJ2Cfvuxb9WLELoGj/view?usp=drivesdk,1P9sbTrSwPoPVyY7sJ2Cfvuxb9WLELoGj
70_Book / kindle / フィクション / 日本の作家,kindlep_猫と庄造と二人のおんな （新潮文庫） 谷崎 潤一郎 130p_4101005052.pdf,9.1,application/pdf,2023-12-13 16:03,2012-11-23 0:10,https://drive.google.com/file/d/1rdOC815KrZuICwt9hQCpFWzCP6KhP5y7/view?usp=drivesdk,1rdOC815KrZuICwt9hQCpFWzCP6KhP5y7
70_Book / kindle / フィクション / 日本の作家,kindlep_燃えつきた地図 （新潮文庫） 安部 公房 401p_4101121141.pdf,21.75,application/pdf,2023-12-13 16:06,2012-11-23 0:09,https://drive.google.com/file/d/1j5NgtdC0WHWQOgMb23jDdGsf9ijd-Ab8/view?usp=drivesdk,1j5NgtdC0WHWQOgMb23jDdGsf9ijd-Ab8
70_Book / kindle / フィクション / 日本の作家,kindlep_暗夜行路 （新潮文庫） 志賀 直哉 582p_4101030073.pdf,40.46,application/pdf,2023-12-13 16:05,2012-11-22 23:58,https://drive.google.com/file/d/170mlUu-c23YOmXRW7F4EnN0TV3oT9oWE/view?usp=drivesdk,170mlUu-c23YOmXRW7F4EnN0TV3oT9oWE
70_Book / kindle / フィクション / 日本の作家,kindlep_春琴抄 （新潮文庫） 谷崎 潤一郎 106p_4101005044.pdf,8.44,application/pdf,2023-12-13 16:09,2012-11-22 23:46,https://drive.google.com/file/d/1MLkLwmWTEJjU2Th4T5dDynNUzcesi1UU/view?usp=drivesdk,1MLkLwmWTEJjU2Th4T5dDynNUzcesi1UU
70_Book / kindle / フィクション / 日本の作家,kindlep_少将滋幹の母 （新潮文庫） 谷崎 潤一郎 218p_4101005095.pdf,11.13,application/pdf,2023-12-13 16:10,2012-11-22 23:43,https://drive.google.com/file/d/18f8dTTJ6fCVW6apfy5ECGlg5BaTocdHL/view?usp=drivesdk,18f8dTTJ6fCVW6apfy5ECGlg5BaTocdHL
70_Book / kindle / フィクション / 日本の作家,kindlep_小僧の神様・城の崎にて （新潮文庫） 志賀 直哉 331p_4101030057.pdf,16.52,application/pdf,2023-12-13 16:07,2012-11-22 23:41,https://drive.google.com/file/d/1yuYiKWfMpg8--l9fFDLmxbBXwneVlhyM/view?usp=drivesdk,1yuYiKWfMpg8--l9fFDLmxbBXwneVlhyM
70_Book / kindle / フィクション / 日本の作家,kindlep_和解 （新潮文庫） 志賀 直哉 120p_4101030014.pdf,7.49,application/pdf,2023-12-13 16:05,2012-11-22 23:37,https://drive.google.com/file/d/1l80zKau_IEb041bu7TtdGzhVZY_OaXgI/view?usp=drivesdk,1l80zKau_IEb041bu7TtdGzhVZY_OaXgI
70_Book / kindle / フィクション / 日本の作家,kindlep_吉野葛・盲目物語 （1951年） （新潮文庫〈第219〉） 谷崎 潤一郎 194p_B000JBF18Q.pdf,12.61,application/pdf,2023-12-13 16:03,2012-11-22 23:36,https://drive.google.com/file/d/1GWiDu7xerCDLuEEcNO1GbeCADICLn7A0/view?usp=drivesdk,1GWiDu7xerCDLuEEcNO1GbeCADICLn7A0
70_Book / kindle / フィクション / 日本の作家,kindlep_他人の顔 （新潮文庫） 安部 公房 290p_410112101X.pdf,20.41,application/pdf,2023-12-13 16:08,2012-11-22 23:29,https://drive.google.com/file/d/1pzBo2U2zhgUlkjB8aF5GGnNWE3XDD5YZ/view?usp=drivesdk,1pzBo2U2zhgUlkjB8aF5GGnNWE3XDD5YZ
70_Book / kindle / フィクション / 日本の作家,kindlep_串刺し教授 （新潮文庫） 筒井 康隆 274p_410117122X.pdf,16.65,application/pdf,2023-12-13 16:08,2012-11-22 17:44,https://drive.google.com/file/d/18410RDNbccrQ6rrKien5Hr_aAFNzE1N7/view?usp=drivesdk,18410RDNbccrQ6rrKien5Hr_aAFNzE1N7
70_Book / kindle / フィクション / 日本の作家,kindlep_陰翳礼讃 （中公文庫 A 1-9） 谷崎 潤一郎 169p_4122002591.pdf,11.5,application/pdf,2023-12-13 16:05,2012-11-21 1:05,https://drive.google.com/file/d/1BnvUiHkZbziRJH-0zAMY1fJc6B4unGzr/view?usp=drivesdk,1BnvUiHkZbziRJH-0zAMY1fJc6B4unGzr
70_Book / kindle / フィクション / 日本の作家,kindlep_刺青・秘密 （新潮文庫） 谷崎 潤一郎 273p_4101005036.pdf,17.26,application/pdf,2023-12-13 16:04,2012-11-21 1:04,https://drive.google.com/file/d/1SMuf88eNf5iYC3GTanAvWTugDw4aBUEu/view?usp=drivesdk,1SMuf88eNf5iYC3GTanAvWTugDw4aBUEu
70_Book / kindle / フィクション / 日本の作家,kindlep_卍 （新潮文庫） 谷崎 潤一郎 199p_4101005087.pdf,14.76,application/pdf,2023-12-13 16:03,2012-11-21 1:03,https://drive.google.com/file/d/1PzomV37z6muuyLCTZJ8eSNyhfgb7eIea/view?usp=drivesdk,1PzomV37z6muuyLCTZJ8eSNyhfgb7eIea
70_Book / kindle / ノンフィクション,.DS_Store,0.01,application/octet-stream,2023-12-13 15:17,2020-03-27 21:12,https://drive.google.com/file/d/1QyPTR2IKIWv-X1pNRsh51xplc8qr44PG/view?usp=drivesdk,1QyPTR2IKIWv-X1pNRsh51xplc8qr44PG
70_Book / kindle / ノンフィクション,kindlep_果てしなき論争 ベトナム戦争の悲劇を繰り返さないために ロバート・マクナマラ 736p_4764105233.pdf,85.09,application/pdf,2023-12-13 15:19,2014-04-29 22:12,https://drive.google.com/file/d/1h4Yhg-VsGd70lAPbx5V1WdFpui18yIeb/view?usp=drivesdk,1h4Yhg-VsGd70lAPbx5V1WdFpui18yIeb
70_Book / kindle / ノンフィクション,kindlep_読書術 （岩波現代文庫） 加藤 周一 218p_400603024X.pdf,20.71,application/pdf,2023-12-13 15:17,2014-03-13 11:39,https://drive.google.com/file/d/13o6XBw9i2KnPpTje0tmfAlxatTed7Mef/view?usp=drivesdk,13o6XBw9i2KnPpTje0tmfAlxatTed7Mef
70_Book / kindle / ノンフィクション,kindlep_第三の波 （1982年） （中公文庫） A．トフラー 588p_B000J7L6MU.pdf,73.12,application/pdf,2023-12-13 15:17,2014-03-13 11:39,https://drive.google.com/file/d/1P2IzpP_Ttlnr1UpZ3bWGc0UKBe91vrrl/view?usp=drivesdk,1P2IzpP_Ttlnr1UpZ3bWGc0UKBe91vrrl
70_Book / kindle / ノンフィクション,kindlep_死のクレバス-アンデス氷壁の遭難 （岩波現代文庫） J． シンプソン 311p_4006020228.pdf,32.62,application/pdf,2023-12-13 15:26,2014-03-13 11:24,https://drive.google.com/file/d/1_i73FcZ0r4dg_96F1pcSFDOhEL4IeXAH/view?usp=drivesdk,1_i73FcZ0r4dg_96F1pcSFDOhEL4IeXAH
70_Book / kindle / ノンフィクション,kindlep_地中海世界を彩った人たち-古典にみる人物像 （岩波現代文庫） 柳沼 重剛 301p_4006001878.pdf,28.5,application/pdf,2023-12-13 15:25,2014-03-13 11:19,https://drive.google.com/file/d/1_mxATH-adsA3F8NjGiFAMx_EWEyfL3GW/view?usp=drivesdk,1_mxATH-adsA3F8NjGiFAMx_EWEyfL3GW
70_Book / kindle / ノンフィクション,kindlep_三文役者の死-正伝殿山泰司 （岩波現代文庫） 新藤 兼人 284p_4006020171.pdf,25.83,application/pdf,2023-12-13 15:24,2014-03-13 11:16,https://drive.google.com/file/d/18t8z_7nJxJ--l7JeBOTucF7laDuBa13z/view?usp=drivesdk,18t8z_7nJxJ--l7JeBOTucF7laDuBa13z
70_Book / kindle / ノンフィクション,kindlep_なぜ戦争観は衝突するか-日本とアメリカ （岩波現代文庫） 油井 大三郎 370p_4006001746.pdf,41.63,application/pdf,2023-12-13 15:22,2014-03-13 11:10,https://drive.google.com/file/d/1XgLLHDavCNSAQjNoTHdS05m6ddJN3WY9/view?usp=drivesdk,1XgLLHDavCNSAQjNoTHdS05m6ddJN3WY9
70_Book / kindle / ノンフィクション,kindlep_がんよ驕るなかれ （岩波現代文庫） 杉村 隆 193p_4006030088.pdf,17.68,application/pdf,2023-12-13 15:18,2014-03-13 11:08,https://drive.google.com/file/d/15rNW3XIA3YKjyIyu4rKTZt-cSdfYS8r6/view?usp=drivesdk,15rNW3XIA3YKjyIyu4rKTZt-cSdfYS8r6
70_Book / kindle / ノンフィクション,kindlep_モンゴル 遊牧の四季 -ゴビ地方遊牧民の生活誌- 三秋尚 鉱脈社 319p.pdf,35.61,application/pdf,2023-12-13 15:21,2014-02-08 19:39,https://drive.google.com/file/d/1BcbIIFm4H2CTnMTLyCDFWW0NUCiI92mN/view?usp=drivesdk,1BcbIIFm4H2CTnMTLyCDFWW0NUCiI92mN
70_Book / kindle / ノンフィクション,kindlep_生と死の様式-脳死時代を迎える日本人の死生観  267p_4414803063.pdf,26.92,application/pdf,2023-12-13 15:20,2014-01-18 14:40,https://drive.google.com/file/d/10Wmy1jPmK8KiPF_9UcBFI1olSY09PMZ4/view?usp=drivesdk,10Wmy1jPmK8KiPF_9UcBFI1olSY09PMZ4
70_Book / kindle / ノンフィクション,kindlep_マクナマラ回顧録 ベトナムの悲劇と教訓 ロバート・マクナマラ 581p_4764103834.pdf,67.75,application/pdf,2023-12-13 15:24,2014-01-18 14:26,https://drive.google.com/file/d/1ynC4Xz98XIkO7wVEhmEI829Oskruj5j6/view?usp=drivesdk,1ynC4Xz98XIkO7wVEhmEI829Oskruj5j6
70_Book / kindle / ノンフィクション,kindlep_ウルカヌスの群像-ブッシュ政権とイラク戦争 ジェームズ マン 602p_4764105446.pdf,76.22,application/pdf,2023-12-13 15:21,2014-01-18 14:19,https://drive.google.com/file/d/1sDludaCGfp9DDeqXculZPUXi5Owpa0OR/view?usp=drivesdk,1sDludaCGfp9DDeqXculZPUXi5Owpa0OR
70_Book / kindle / ノンフィクション,kindlep_日本の分水嶺 （ヤマケイ文庫） 堀 公俊 384p_4635047350.pdf,37.74,application/pdf,2023-12-13 15:25,2013-10-31 23:09,https://drive.google.com/file/d/1XuC4p3OmVQh1IcNa-rvBOSyhLOkJWIvZ/view?usp=drivesdk,1XuC4p3OmVQh1IcNa-rvBOSyhLOkJWIvZ
70_Book / kindle / ノンフィクション,kindlep_ベスト＆ブライテスト〈中〉ベトナムに沈む星条旗 （朝日文庫） デイヴィッド ハルバースタム 398p_4022612622.pdf,45.5,application/pdf,2023-12-13 15:25,2013-10-02 11:13,https://drive.google.com/file/d/1snCCYk4JKVv3cTDlvOX-ZwGo6yjkqfXQ/view?usp=drivesdk,1snCCYk4JKVv3cTDlvOX-ZwGo6yjkqfXQ
70_Book / kindle / ノンフィクション,kindlep_ベスト＆ブライテスト〈下〉アメリカが目覚めた日 （朝日文庫） デイヴィッド ハルバースタム 422p_4022612630.pdf,46.71,application/pdf,2023-12-13 15:24,2013-10-02 11:12,https://drive.google.com/file/d/1h6pxD1plXn2WR_ZAasCkLzzReN6eO-mu/view?usp=drivesdk,1h6pxD1plXn2WR_ZAasCkLzzReN6eO-mu
70_Book / kindle / ノンフィクション,kindlep_ベスト＆ブライテスト〈上〉栄光と興奮に憑かれて （朝日文庫） デイヴィッド ハルバースタム 401p_4022612614.pdf,45.3,application/pdf,2023-12-13 15:18,2013-10-02 11:11,https://drive.google.com/file/d/1R3MoOx1xswpTH004tGzBgneiPt5biUJ2/view?usp=drivesdk,1R3MoOx1xswpTH004tGzBgneiPt5biUJ2
70_Book / kindle / ノンフィクション,kindlep_キャパ その青春 （文春文庫） リチャード・ウィーラン 270p_4167651394.pdf,31.51,application/pdf,2023-12-13 15:18,2013-10-02 10:48,https://drive.google.com/file/d/1vBdhywQdrKw0oYBSF2r5lVeifaMTGOS8/view?usp=drivesdk,1vBdhywQdrKw0oYBSF2r5lVeifaMTGOS8
